;;;;;;;;;;;;;;;;;
;TIPO;ANO;LEI / NORMA;OBJETIVO;TEMA;"Aplic†vel Ö 
IP CREDENCIADOR";"Aplic†vel Ö 
IP EME";"Aplic†vel Ö 
IF SCD";"Aplic†vel Ö 
TAG";Aplic†vel Ö pelo menos uma das 4;OBSERVAÄ«O;BASE LEGAL;VIGOR;;;;
;Lei Federal;dez/64;Lei 4.595;Disp‰e sobre a Pol°tica e as Instituiá‰es Monet†rias, Banc†rias e Credit°cias, Cria o Conselho Monet†rio Nacional e d† outras providàncias.;Instituiá‰es Financeiras;N∆o;N∆o;Sim;N∆o;Sim;PNA: Lei que regulamenta o Sistema Financeiro Nacional e serve como base legal para qualificaá∆o das SCDs como instituiá‰es financeiras, bem como sua sujeiá∆o Ö regulamentaá∆o do CMN e Ö supervis∆o do BCB. N∆o imp‰e muitas obrigaá‰es diretas para as SCDs, pois serve em sua essància de base legal para atuaá∆o das autoridades monet†rias. ;;;;;;
;Lei Federal;mar/74;Lei 6.024/74;Disp‰e sobre a intervená∆o e a liquidaá∆o extrajudicial de instituiá‰es financeiras, e d† outras providàncias.;Regimes Especiais (RAET, Intervená∆o e Liquidaá∆o Extrajudicial) ;Sim;Sim;Sim;N∆o;Sim;"Intervená∆o e Liquidaá∆o Extrajudicial. Aplica-se Ös IPs por foráa do art. 13 da Lei 12.865/13.

PNA:as instituiá‰es financeiras, incluindo agora as SCDs, n∆o se sujeitam ao regime geral da lei de falàncias, mas sim aos regimes especiais de intervená∆o e de liquidaá∆o pelo BCB previstos nesta lei. Estabelece tambÇm a responsabilidade dos administradores e a indisponibilidade de seus bens pelo passivo descoberto.";;;;;;
;Circular BCB;abr/80;Circular 518/80;Estabelece, para as instituiá‰es autorizadas a funcionar pelo Banco Central, novos mapas de composiá∆o de capital.;Aspectos Societ†rios;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;"Circular BCB nß 3.941/2019 - Revogaá∆o total, a partir de 25/5/2019.
PNA: ê um dos documentos que devem ser apresentados no processo de autorizaá∆o.     ";;;;;;
;Resoluá∆o CMN;abr/84;Resoluá∆o 913/84;Aprova Regulamento que disciplina a microfilmagem de documentos de instituiá‰es financeiras e demais entidades sob controle e fiscalizaá∆o do BCB e da CVM.;Seguranáa e Gest∆o de Dados;N∆o;N∆o;Sim;(Sim ?);Sim;;;;;;;
;Lei Federal;jun/86;Lei 7.492/86;Define os crimes contra o sistema financeiro nacional, e d† outras providàncias.;Regimes Especiais (RAET, Intervená∆o e Liquidaá∆o Extrajudicial) ;Sim;Sim;Sim;N∆o;Sim;"Lei do Colarinho Branco (crimes praticados pelo controlador ou pelos administradores de instituiá‰es financeiras) - Mená∆o expressa no art. 2ß da pr¢pria lei

PNA: infraá∆o pode implicar na pris∆o do administrador ou controlador da SCD.   ";;;;;;
;Resoluá∆o CMN;jun/86;Resoluá∆o 1.143/86;Autoriza as instituiá‰es financeiras a realizar operaá∆o de crÇdito (ativas e passivas) a taxas flutuantes (vari†veis), que poder∆o ser resgatadas em per°odos fixos, desde que tais operaá‰es tenham prazo igual ou superior a 180 dias.;Contabilidade;N∆o;N∆o;Sim;N∆o;Sim;"Operaá∆o de crÇdito para IF.

PNA: As normas atuais estabelecem certa liberdade na definiá∆o de prazos e taxas. ";;;;;;
;Decreto-Lei;fev/87;Decreto-Lei 2.321/87;Institui, em defesa das finanáas p£blicas, regime de administraá∆o especial tempor†ria, nas instituiá‰es financeiras privadas e p£blicas n∆o federais, e d† outras providàncias.;Regimes Especiais (RAET, Intervená∆o e Liquidaá∆o Extrajudicial) ;Sim;Sim;Sim;N∆o;Sim;"Regime de Administraá∆o Especial Tempor†ria (RAET). Aplica-se Ös IPs por foráa do art. 13 da Lei 12.865/13.

PNA: o RAET Ç um regime com prazo limitado por meio do qual o BCB substitui os dirigentes da instituiá∆o financeira com a finalidade de corrigir procedimentos operacionais ou de eliminar deficiàncias. Esse regime n∆o afeta o andamento dos neg¢cios da instituiá∆o, que continua a funcionar normalmente. No entanto, administradores podem ser responsabilizados e terem seus bens indispon°veis.   ";;;;;;
;Circular BCB;dez/87;Circular 1.273/87;Institui o Plano Cont†bil das Instituiá‰es do Sistema Financeiro Nacional - COSIF, com implantaá∆o no 1ß semestre/88.;Contabilidade;Sim;Sim;Sim;N∆o;Sim;"As normas atuais estabelecem que as normas e procedimentos Cosif, se aplicam tanto Ö IP quanto Ö SCD.

PNA: Manual que compila todas as regras cont†beis.";;;;;;
;Resoluá∆o CMN;dez/88;Resoluá∆o 1.559/88;"Estabelece ser vedado Ös instituiá‰es financeiras: (i) realizar operaá‰es que n∆o atendam aos princ°pios de seletividade, garantia, liquidez e diversificaá∆o de riscos; e (ii) conceder crÇdito ou adiantamento sem a constituiá∆o de um t°tulo adequado, representativo da d°vida (inciso IX).";Partes Relacionadas ;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
;Resoluá∆o CMN;dez/90;Resoluá∆o 1.775/90;Estabelece critÇrios de enquadramento nos limites de diversificaá∆o de risco de que trata a Resoluá∆o nß. 1.559, de 22.12.88, e veda a aquisiá∆o de valores mobili†rios de emiss∆o de empresas ligadas.;Partes Relacionadas ;N∆o;N∆o;Sim;N∆o;Sim;;;;;;;
